Price,LIBOR,VIX
2020-05-20,0.11800000071525574,27.989999771118164
2020-05-21,0.10999999940395355,29.530000686645508
2020-05-22,0.10999999940395355,28.15999984741211
2020-05-26,0.11800000071525574,28.010000228881836
2020-05-27,0.13500000536441803,27.6200008392334
2020-05-28,0.1379999965429306,28.59000015258789
2020-05-29,0.12800000607967377,27.510000228881836
2020-06-01,0.12800000607967377,28.229999542236328
2020-06-02,0.14499999582767487,26.84000015258789
2020-06-03,0.14800000190734863,25.65999984741211
2020-06-04,0.14000000059604645,25.809999465942383
2020-06-05,0.14499999582767487,24.520000457763672
2020-06-08,0.15299999713897705,25.809999465942383
2020-06-09,0.16500000655651093,27.56999969482422
2020-06-10,0.16500000655651093,27.56999969482422
2020-06-11,0.15299999713897705,40.790000915527344
2020-06-12,0.15000000596046448,36.09000015258789
2020-06-15,0.1550000011920929,34.400001525878906
2020-06-16,0.1599999964237213,33.66999816894531
2020-06-17,0.16500000655651093,33.470001220703125
2020-06-18,0.14000000059604645,32.939998626708984
2020-06-19,0.14300000667572021,35.119998931884766
2020-06-22,0.14000000059604645,31.770000457763672
2020-06-23,0.14000000059604645,31.3700008392334
2020-06-24,0.13500000536441803,33.84000015258789
2020-06-25,0.12999999523162842,32.220001220703125
2020-06-26,0.13300000131130219,34.72999954223633
2020-06-29,0.125,31.780000686645508
2020-06-30,0.13500000536441803,30.43000030517578
2020-07-01,0.12999999523162842,28.6200008392334
2020-07-02,0.13300000131130219,27.68000030517578
2020-07-06,0.12800000607967377,27.940000534057617
2020-07-07,0.14000000059604645,29.43000030517578
2020-07-08,0.13500000536441803,28.079999923706055
2020-07-09,0.12300000339746475,29.260000228881836
2020-07-10,0.11999999731779099,27.290000915527344
2020-07-13,0.125,32.189998626708984
2020-07-14,0.13300000131130219,29.520000457763672
2020-07-15,0.125,27.760000228881836
2020-07-16,0.10300000011920929,28.0
2020-07-17,0.10499999672174454,25.68000030517578
2020-07-20,0.10499999672174454,24.459999084472656
2020-07-21,0.10999999940395355,24.84000015258789
2020-07-22,0.10000000149011612,24.31999969482422
2020-07-23,0.10300000011920929,26.079999923706055
2020-07-24,0.09799999743700027,25.84000015258789
2020-07-27,0.09300000220537186,24.739999771118164
2020-07-28,0.10300000011920929,25.440000534057617
2020-07-29,0.09000000357627869,24.100000381469727
2020-07-30,0.08500000089406967,24.760000228881836
2020-07-31,0.08299999684095383,24.459999084472656
2020-08-03,0.07800000160932541,24.280000686645508
2020-08-04,0.09000000357627869,23.760000228881836
2020-08-05,0.0949999988079071,22.989999771118164
2020-08-06,0.08799999952316284,22.649999618530273
2020-08-07,0.08799999952316284,22.209999084472656
2020-08-10,0.08799999952316284,22.1299991607666
2020-08-11,0.10000000149011612,24.030000686645508
2020-08-12,0.10000000149011612,22.280000686645508
2020-08-13,0.09000000357627869,22.1299991607666
2020-08-14,0.08799999952316284,22.049999237060547
2020-08-17,0.08500000089406967,21.350000381469727
2020-08-18,0.10000000149011612,21.510000228881836
2020-08-19,0.0949999988079071,22.540000915527344
2020-08-20,0.08799999952316284,22.719999313354492
2020-08-21,0.08799999952316284,22.540000915527344
2020-08-24,0.08500000089406967,22.3700008392334
2020-08-25,0.0949999988079071,22.030000686645508
2020-08-26,0.09300000220537186,23.270000457763672
